t,y,v
1.915652193535035241e+00,3.015016130564557919e-05,-1.561580408545528986e-01
1.915763890746935649e+00,1.264654743600932211e-05,-1.572537905032959094e-01
1.915800610539858839e+00,6.865607188983265693e-06,-1.576140116718723894e-01
1.915837330332782029e+00,1.071439695240530381e-06,-1.579742328404488694e-01
1.915873816541437957e+00,-4.696389746306693174e-06,-1.581748763064579344e-01
1.915907030032954150e+00,-9.952721371922380059e-06,-1.583429438113033161e-01
1.916239164948116080e+00,-6.282123958777237858e-05,-1.600073629925011509e-01
1.917496384030407786e+00,-2.677729539356401667e-04,-1.659133854184992041e-01
1.920059979992878363e+00,-7.058407279147956102e-04,-1.751130470615135937e-01
1.923323709728097741e+00,-1.286819763342521815e-03,-1.793450805255551728e-01
1.926505253257820183e+00,-1.851191405910038081e-03,-1.737435844148520481e-01
1.929543283534740139e+00,-2.358747935682482030e-03,-1.588475777083118712e-01
1.932460495936227707e+00,-2.790999207639256220e-03,-1.362264515671750831e-01
1.935255934415144541e+00,-3.133807679785002766e-03,-1.081239224283647993e-01
1.937922957337553820e+00,-3.381512849249673769e-03,-7.710058636694686052e-02
1.940453360541835925e+00,-3.537012482379586764e-03,-4.562406144943211006e-02
1.942830899755134677e+00,-3.609970465921423077e-03,-1.584370047863287861e-02
1.944663094917561619e+00,-3.618543206968197028e-03,6.306312635634785807e-03
1.946495290079988560e+00,-3.587699778450593666e-03,2.708654257944748470e-02
1.948596314086114445e+00,-3.507747355161387141e-03,4.854542348703178717e-02
1.951042996324970691e+00,-3.362342667903593912e-03,6.953416109092588893e-02
1.953814889958465528e+00,-3.143429357425105673e-03,8.730484441563884923e-02
1.956938944477899955e+00,-2.849860651613803780e-03,9.919295370871372697e-02
1.960395683331294325e+00,-2.498289744734213860e-03,1.025870221100771834e-01
1.963953233365876461e+00,-2.141250796077057497e-03,9.670900079321519127e-02
1.967409492127532245e+00,-1.827466474128035907e-03,8.387973331607510852e-02
1.970775232940136235e+00,-1.572993550295363925e-03,6.674020264987146067e-02
1.974067102032928345e+00,-1.384628455607864747e-03,4.742512593908110308e-02
1.977273095432161565e+00,-1.264111208575657884e-03,2.772241902153722154e-02
1.980360886483517158e+00,-1.207514874106206497e-03,9.070642340910220480e-03
